epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.22,2.32812,3.03294,2.93911,0.72271,0.70595,0.6593,0.36519,1.72122,1.43517,2.13185,0.000665912,0.000665912,0.000665912
2,335.716,1.52614,1.22258,1.86923,0.88795,0.78819,0.86412,0.53943,1.45254,1.05916,1.79577,0.00120065,0.00120065,0.00120065
3,480.991,1.40558,0.99123,1.71272,0.91808,0.81396,0.88275,0.55936,1.35355,0.96583,1.69437,0.00160339,0.00160339,0.00160339
4,626.746,1.33633,0.87831,1.63546,0.93008,0.84777,0.91639,0.57012,1.33552,0.87795,1.66254,0.001406,0.001406,0.001406
5,773.386,1.2971,0.80087,1.58965,0.89282,0.81196,0.88982,0.55927,1.35824,0.95025,1.68106,0.001208,0.001208,0.001208
6,922.367,1.25867,0.74649,1.54184,0.95984,0.8627,0.93401,0.61172,1.26695,0.74776,1.60216,0.00101,0.00101,0.00101
7,1068.54,1.24012,0.70004,1.53109,0.95447,0.88004,0.94508,0.62964,1.26164,0.68868,1.55492,0.000812,0.000812,0.000812
8,1216.75,1.21855,0.65591,1.49708,0.92788,0.89456,0.94,0.6322,1.22727,0.68747,1.51316,0.000614,0.000614,0.000614
9,1365.15,1.18255,0.6192,1.46002,0.94665,0.90159,0.94937,0.64932,1.18929,0.64254,1.50082,0.000416,0.000416,0.000416
10,1512.9,1.16446,0.58986,1.44361,0.96381,0.91098,0.95706,0.65128,1.18771,0.60994,1.48312,0.000218,0.000218,0.000218
