epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.183,1.38206,0.86766,1.61545,0.938,0.8955,0.93776,0.61809,1.26922,0.69233,1.53313,0.000665158,0.000665158,0.000665158
2,306.539,1.38393,0.88743,1.63636,0.94479,0.86036,0.92901,0.57783,1.31132,0.87086,1.59125,0.00130545,0.00130545,0.00130545
3,448.463,1.37086,0.88977,1.63583,0.94648,0.86832,0.92687,0.56138,1.40675,0.836,1.64033,0.00191935,0.00191935,0.00191935
4,595.419,1.35521,0.87868,1.61823,0.93056,0.8716,0.92252,0.56854,1.37719,0.82756,1.61977,0.0018812,0.0018812,0.0018812
5,744.734,1.36072,0.8644,1.61579,0.95761,0.88918,0.9379,0.52852,1.46834,0.78631,1.72774,0.0018416,0.0018416,0.0018416
6,908.179,1.32098,0.8247,1.58417,0.96648,0.90347,0.94861,0.60403,1.31153,0.66664,1.57276,0.001802,0.001802,0.001802
7,1048.08,1.31471,0.81989,1.56927,0.95182,0.89802,0.9457,0.61203,1.26165,0.70633,1.57705,0.0017624,0.0017624,0.0017624
8,1179.06,1.29339,0.79469,1.55634,0.96104,0.888,0.94438,0.61048,1.28824,0.69457,1.55923,0.0017228,0.0017228,0.0017228
9,1302.98,1.30258,0.78321,1.56342,0.94679,0.90019,0.94676,0.5724,1.39943,0.71422,1.624,0.0016832,0.0016832,0.0016832
10,1427.41,1.27816,0.75324,1.5492,0.96645,0.90347,0.95705,0.62282,1.24384,0.64794,1.53223,0.0016436,0.0016436,0.0016436
11,1555.58,1.26851,0.74786,1.54537,0.9666,0.90874,0.95557,0.62455,1.25667,0.63268,1.55882,0.001604,0.001604,0.001604
12,1680.74,1.2679,0.73466,1.54075,0.96219,0.90862,0.95818,0.64068,1.2304,0.59939,1.53181,0.0015644,0.0015644,0.0015644
13,1804.62,1.25375,0.72387,1.52767,0.96501,0.91761,0.95572,0.60917,1.28798,0.62948,1.56655,0.0015248,0.0015248,0.0015248
14,1931.63,1.24616,0.71784,1.52175,0.97045,0.90811,0.95389,0.62816,1.26696,0.59676,1.55788,0.0014852,0.0014852,0.0014852
15,2060.42,1.25108,0.71325,1.52626,0.97426,0.92216,0.96093,0.61166,1.2869,0.60819,1.53914,0.0014456,0.0014456,0.0014456
16,2184.23,1.2358,0.70996,1.5013,0.96782,0.91604,0.95961,0.61612,1.2784,0.60981,1.53225,0.001406,0.001406,0.001406
17,2306.31,1.23288,0.69503,1.50776,0.96476,0.92268,0.96079,0.63793,1.21882,0.59835,1.5107,0.0013664,0.0013664,0.0013664
18,2430.14,1.22752,0.68307,1.50581,0.97277,0.92063,0.9584,0.61096,1.29368,0.59558,1.55574,0.0013268,0.0013268,0.0013268
19,2553.95,1.21734,0.68804,1.49362,0.97439,0.92174,0.96184,0.64132,1.22851,0.5673,1.52089,0.0012872,0.0012872,0.0012872
20,2677.12,1.21999,0.68746,1.49632,0.97146,0.91846,0.95987,0.62608,1.26917,0.57807,1.53221,0.0012476,0.0012476,0.0012476
21,2799.52,1.20283,0.67294,1.47786,0.96273,0.92877,0.96261,0.64383,1.22878,0.57833,1.4936,0.001208,0.001208,0.001208
22,2919.92,1.20855,0.67204,1.48751,0.97352,0.93029,0.96372,0.61801,1.28469,0.56653,1.53621,0.0011684,0.0011684,0.0011684
23,3041.32,1.19656,0.65483,1.48088,0.97501,0.92549,0.96709,0.63288,1.236,0.56667,1.51565,0.0011288,0.0011288,0.0011288
24,3157.43,1.19536,0.6538,1.48698,0.97564,0.9269,0.96596,0.64342,1.21556,0.55195,1.51837,0.0010892,0.0010892,0.0010892
25,3275.72,1.18937,0.64547,1.4756,0.97179,0.9358,0.9688,0.65225,1.20537,0.52958,1.48327,0.0010496,0.0010496,0.0010496
26,3392.73,1.18798,0.64799,1.4697,0.9728,0.92971,0.96659,0.64029,1.23223,0.54213,1.5039,0.00101,0.00101,0.00101
27,3511.15,1.18305,0.63953,1.47284,0.97619,0.92219,0.96579,0.64521,1.20758,0.55168,1.49125,0.0009704,0.0009704,0.0009704
28,3629.66,1.18133,0.6335,1.47042,0.9812,0.92877,0.9709,0.65545,1.19351,0.52573,1.47759,0.0009308,0.0009308,0.0009308
29,3746.71,1.167,0.61585,1.45059,0.97562,0.93346,0.97102,0.65516,1.19054,0.51211,1.47668,0.0008912,0.0008912,0.0008912
30,3866.36,1.1762,0.62056,1.45647,0.97515,0.93065,0.96809,0.6456,1.2282,0.52356,1.50088,0.0008516,0.0008516,0.0008516
31,3985.87,1.16596,0.61667,1.44793,0.97165,0.93149,0.9678,0.64279,1.22292,0.51673,1.49543,0.000812,0.000812,0.000812
32,4105.51,1.17018,0.61386,1.46085,0.97411,0.93346,0.9698,0.64264,1.23315,0.51116,1.50862,0.0007724,0.0007724,0.0007724
33,4227.88,1.1544,0.60207,1.45425,0.97613,0.93883,0.97234,0.65438,1.20024,0.50788,1.48081,0.0007328,0.0007328,0.0007328
34,4349.99,1.16371,0.60812,1.45444,0.97187,0.9358,0.97067,0.65439,1.19958,0.50907,1.48072,0.0006932,0.0006932,0.0006932
35,4473.95,1.15708,0.59847,1.4452,0.97892,0.93565,0.97277,0.65175,1.20709,0.50133,1.48852,0.0006536,0.0006536,0.0006536
36,4635.61,1.10152,0.49518,1.41927,0.97113,0.94283,0.97165,0.66399,1.18251,0.49431,1.47104,0.000614,0.000614,0.000614
37,4748.52,1.0988,0.48952,1.42333,0.98312,0.93955,0.97344,0.65846,1.19624,0.48833,1.47996,0.0005744,0.0005744,0.0005744
38,4861.47,1.0928,0.48308,1.41114,0.97549,0.94096,0.97227,0.65383,1.20714,0.49495,1.48161,0.0005348,0.0005348,0.0005348
39,4973.05,1.08709,0.4811,1.40264,0.97803,0.93864,0.97303,0.66499,1.1824,0.48779,1.46503,0.0004952,0.0004952,0.0004952
40,5085.88,1.08407,0.47458,1.40318,0.98091,0.93908,0.97484,0.6626,1.19966,0.48055,1.47129,0.0004556,0.0004556,0.0004556
41,5197.69,1.0797,0.46468,1.39823,0.98305,0.93861,0.97781,0.66687,1.18938,0.47941,1.46595,0.000416,0.000416,0.000416
42,5309.78,1.08111,0.4655,1.39551,0.97599,0.94283,0.97626,0.66183,1.18761,0.47933,1.46121,0.0003764,0.0003764,0.0003764
43,5421.67,1.07408,0.46158,1.39495,0.97275,0.94564,0.97379,0.6653,1.17952,0.47455,1.4636,0.0003368,0.0003368,0.0003368
44,5533.57,1.07012,0.45363,1.3881,0.98048,0.94146,0.97658,0.67227,1.17526,0.46183,1.45201,0.0002972,0.0002972,0.0002972
45,5645.08,1.06402,0.45078,1.38345,0.97733,0.93955,0.97508,0.67577,1.16875,0.46751,1.45021,0.0002576,0.0002576,0.0002576
46,5756.37,1.06285,0.45184,1.38597,0.98424,0.94283,0.97719,0.67374,1.16229,0.46207,1.44973,0.000218,0.000218,0.000218
47,5867.63,1.05688,0.44423,1.38132,0.9847,0.93861,0.97533,0.6692,1.18668,0.46339,1.46065,0.0001784,0.0001784,0.0001784
48,5978.89,1.05766,0.44448,1.37802,0.98234,0.93813,0.97637,0.67126,1.17939,0.45737,1.45922,0.0001388,0.0001388,0.0001388
49,6089.44,1.05898,0.44147,1.38387,0.97943,0.94096,0.97549,0.67604,1.16578,0.45685,1.44811,9.92e-05,9.92e-05,9.92e-05
50,6201.08,1.04227,0.43594,1.37037,0.97994,0.94283,0.97614,0.6768,1.1563,0.45443,1.44499,5.96e-05,5.96e-05,5.96e-05
